Month,Total,Skilled,Unskilled,Region_Auckland,Region_Wellington,Region_NorthIslandOth,Region_Canterbury,Region_SouthIslandOth,Accountin_HR_legal_admin,Construction,Education,Healthcare,Hospitality,IT,Manufacturing,Primary,Sales,Other,Occptn_Manager,Occptn_Professionals,Occptn_TechniciansTrades,Occptn_CmmmntyPrsnlSrvcs,Occptn_ClericalAdmin,Occptn_Sales,Occptn_MachineryDrivers,Occptn_Labourers,Skills_HighlySkilled,Skills_Skilled,Skills_Semi_skilled,Skills_LowSkilled,Skills_Unskilled
 Jan 2009,64.76666666666667,72.56666666666666,51.300000000000004,54.13333333333333,66.83333333333333,89.96666666666665,77.56666666666668,97.13333333333333,47.76666666666667,90.39999999999999,126.26666666666667,117.2,72.16666666666667,55.699999999999996,62.06666666666666,78.8,54.4,82.7,67.39999999999999,80.50000000000001,68.36666666666667,86.39999999999999,44.666666666666664,46.76666666666667,65.13333333333334,72.03333333333335,74.3,76.96666666666667,58.199999999999996,49.4,57.93333333333334
 Feb 2009,59.13333333333333,64.66666666666667,49.9,48.79999999999999,62.0,81.93333333333334,72.39999999999999,88.73333333333333,43.53333333333333,80.2,102.76666666666665,115.8,74.03333333333335,48.333333333333336,57.63333333333333,69.66666666666667,52.6,71.63333333333333,60.666666666666664,70.80000000000001,62.06666666666666,89.10000000000001,40.833333333333336,46.666666666666664,61.63333333333333,76.90000000000002,66.53333333333335,65.46666666666667,54.36666666666667,47.23333333333333,59.26666666666667
 Mar 2009,60.599999999999994,65.53333333333333,53.56666666666666,49.46666666666667,63.133333333333326,85.36666666666667,75.33333333333333,94.13333333333333,43.63333333333333,77.03333333333333,116.09999999999998,125.06666666666666,78.7,48.26666666666667,58.699999999999996,69.2,56.166666666666664,76.03333333333332,62.4,71.0,63.6,97.66666666666667,41.96666666666667,52.699999999999996,62.70000000000001,82.39999999999999,66.56666666666666,68.03333333333333,57.4,50.26666666666667,65.16666666666666
 Apr 2009,55.63333333333333,60.4,48.86666666666667,45.9,56.0,79.16666666666667,69.2,87.0,39.46666666666667,68.89999999999999,115.63333333333333,119.13333333333333,69.36666666666667,43.53333333333333,52.800000000000004,62.23333333333333,53.46666666666666,67.7,58.666666666666664,64.89999999999999,58.333333333333336,91.26666666666667,37.199999999999996,50.53333333333333,56.76666666666667,74.63333333333334,61.03333333333333,62.56666666666667,54.63333333333333,45.53333333333333,60.56666666666666
 May 2009,54.76666666666666,60.0,47.23333333333333,45.13333333333333,53.699999999999996,79.9,69.16666666666667,85.16666666666667,38.76666666666667,66.5,123.5333333333333,119.56666666666665,62.53333333333335,41.93333333333333,50.56666666666666,63.20000000000001,53.666666666666664,68.2,57.73333333333333,64.86666666666667,57.20000000000001,87.46666666666668,35.96666666666667,50.56666666666666,53.73333333333333,70.56666666666666,60.46666666666667,62.46666666666667,54.63333333333333,43.63333333333333,59.73333333333333
 Jun 2009,52.800000000000004,57.73333333333333,45.0,43.699999999999996,51.5,76.66666666666667,67.0,80.96666666666667,37.099999999999994,62.06666666666666,120.63333333333331,118.16666666666664,56.80000000000001,40.26666666666667,47.26666666666667,61.166666666666664,53.9,68.03333333333335,54.5,62.400000000000006,54.96666666666667,84.26666666666667,34.099999999999994,50.26666666666667,48.53333333333333,69.06666666666668,58.36666666666667,58.333333333333336,53.900000000000006,40.8,59.56666666666666
 Jul 2009,53.666666666666664,58.5,45.96666666666666,44.53333333333333,52.333333333333336,76.83333333333333,69.43333333333334,80.56666666666666,36.86666666666667,61.53333333333333,116.16666666666664,121.39999999999999,60.80000000000001,41.4,46.96666666666667,65.23333333333333,56.833333333333336,72.36666666666666,56.43333333333333,62.5,56.70000000000001,87.89999999999999,34.333333333333336,51.96666666666667,46.866666666666674,72.26666666666667,59.23333333333333,58.199999999999996,55.23333333333333,41.5,61.53333333333333
 Aug 2009,53.03333333333333,57.03333333333333,46.699999999999996,44.03333333333334,50.333333333333336,76.06666666666666,69.8,83.63333333333333,34.76666666666666,60.1,112.46666666666665,117.36666666666666,67.43333333333334,41.300000000000004,48.26666666666667,61.73333333333334,58.6,70.83333333333333,57.599999999999994,59.466666666666676,57.43333333333334,91.59999999999998,33.46666666666667,53.36666666666667,46.93333333333334,73.10000000000001,57.333333333333336,57.56666666666666,54.833333333333336,42.300000000000004,62.0
 Sep 2009,55.36666666666667,59.23333333333333,50.166666666666664,46.03333333333333,50.166666666666664,81.23333333333333,73.83333333333333,92.10000000000001,35.06666666666667,63.93333333333334,123.36666666666663,117.73333333333333,80.53333333333335,40.8,53.6,60.166666666666664,62.199999999999996,72.36666666666667,62.46666666666666,60.30000000000001,61.833333333333336,97.76666666666667,34.13333333333333,57.5,56.900000000000006,79.56666666666668,57.9,66.03333333333333,56.96666666666667,45.03333333333333,68.06666666666666
 Oct 2009,57.76666666666667,62.26666666666666,52.0,47.300000000000004,50.833333333333336,87.40000000000002,78.53333333333333,104.0,35.4,66.0,161.29999999999998,116.69999999999999,89.53333333333335,40.63333333333333,56.93333333333334,60.53333333333333,64.63333333333333,71.7,64.69999999999999,63.96666666666667,64.86666666666667,102.10000000000001,34.20000000000001,60.166666666666664,64.0,82.7,58.26666666666667,80.56666666666666,58.53333333333334,46.03333333333333,72.7
 Nov 2009,58.4,63.533333333333324,52.1,47.46666666666667,51.199999999999996,91.2,77.7,107.06666666666666,35.333333333333336,65.16666666666667,181.79999999999995,115.53333333333332,89.0,40.46666666666667,59.06666666666666,62.099999999999994,64.96666666666665,73.13333333333333,65.06666666666666,65.96666666666667,65.06666666666666,98.53333333333335,34.53333333333333,59.800000000000004,69.56666666666668,84.50000000000001,58.23333333333334,88.16666666666667,58.26666666666667,46.23333333333333,72.46666666666665
 Dec 2009,52.4,57.5,45.73333333333333,42.03333333333334,46.63333333333333,82.66666666666667,69.73333333333333,97.0,32.26666666666667,56.56666666666666,159.89999999999995,105.06666666666666,77.10000000000001,37.766666666666666,52.73333333333333,57.86666666666667,57.76666666666667,66.56666666666668,58.43333333333333,60.30000000000001,57.699999999999996,86.59999999999998,31.96666666666667,50.800000000000004,61.06666666666667,70.33333333333336,53.46666666666667,77.53333333333333,51.833333333333336,41.43333333333334,60.56666666666666
 Jan 2010,51.93333333333334,55.43333333333334,48.699999999999996,42.2,45.833333333333336,81.96666666666667,67.8,93.13333333333333,32.800000000000004,56.96666666666666,122.96666666666664,104.8,77.56666666666668,36.46666666666667,55.699999999999996,60.86666666666667,60.5,66.63333333333334,57.96666666666666,56.400000000000006,57.79999999999999,90.30000000000001,34.63333333333333,52.9,64.53333333333335,71.60000000000001,52.86666666666667,67.39999999999999,52.9,44.73333333333333,62.333333333333336
 Feb 2010,53.86666666666667,55.93333333333334,53.56666666666666,44.43333333333334,48.06666666666666,82.36666666666666,70.5,91.96666666666665,35.3,60.633333333333326,99.59999999999998,107.66666666666667,84.66666666666669,36.7,59.6,66.16666666666667,64.23333333333333,67.8,59.06666666666666,55.16666666666668,61.86666666666665,98.2,38.36666666666667,57.23333333333333,69.60000000000001,78.76666666666667,54.06666666666666,62.03333333333333,57.36666666666667,49.0,69.39999999999999
 Mar 2010,64.2,65.63333333333333,65.93333333333332,53.6,58.0,96.86666666666667,81.99999999999999,106.13333333333333,42.300000000000004,72.43333333333334,113.36666666666663,121.86666666666666,97.83333333333333,44.93333333333334,74.33333333333333,80.5,78.5,75.0,68.76666666666665,63.833333333333336,74.43333333333334,117.03333333333335,46.96666666666667,70.96666666666665,86.60000000000001,100.83333333333333,62.96666666666666,72.60000000000001,69.89999999999999,59.86666666666667,87.03333333333335
